"","lat","lon","b_x","b_y","b_z"
"1",14,-137.2,228.8,38,146.4
"2",14,-137.1,228.8,38,146.6
"3",14,-137,228.8,37.9,146.7
"4",14,-136.9,228.7,37.9,146.8
"5",14,-136.8,228.7,37.9,147
"6",14,-136.7,228.7,37.8,147.1
"7",14,-136.6,228.6,37.8,147.2
"8",14,-136.5,228.6,37.8,147.4
"9",14,-136.4,228.6,37.7,147.5
"10",14,-136.3,228.5,37.7,147.6
"11",14,-136.2,228.5,37.7,147.8
"12",14,-136.1,228.5,37.6,147.9
"13",14,-136,228.4,37.6,148
"14",14,-135.9,228.4,37.6,148.2
"15",14,-135.8,228.4,37.5,148.3
"16",14,-135.7,228.3,37.5,148.4
"17",14,-135.6,228.3,37.5,148.5
"18",14,-135.5,228.3,37.4,148.7
"19",14,-135.4,228.2,37.4,148.8
"20",14,-135.3,228.2,37.3,148.9
"21",14,-135.2,228.2,37.3,149.1
"22",14,-135.1,228.1,37.3,149.2
"23",14,-135,228.1,37.2,149.3
"24",14,-134.9,228.1,37.2,149.4
"25",14,-134.8,228,37.2,149.6
"26",14,-134.7,228,37.1,149.7
"27",14,-134.6,228,37.1,149.8
"28",14,-134.5,227.9,37.1,150
"29",14,-134.4,227.9,37,150.1
"30",14,-134.3,227.9,37,150.2
"31",14,-134.2,227.8,36.9,150.3
"32",14,-134.1,227.8,36.9,150.5
"33",14,-134,227.8,36.9,150.6
"34",14,-133.9,227.7,36.8,150.7
"35",14,-133.8,227.7,36.8,150.9
"36",14,-133.7,227.7,36.7,151
"37",14,-133.6,227.6,36.7,151.1
"38",14,-133.5,227.6,36.7,151.2
"39",14,-133.4,227.6,36.6,151.4
"40",14,-133.3,227.5,36.6,151.5
"41",14,-133.2,227.5,36.6,151.6
"42",14,-133.1,227.5,36.5,151.8
"43",14,-133,227.4,36.5,151.9
"44",14,-132.9,227.4,36.4,152
"45",14,-132.8,227.4,36.4,152.1
"46",14,-132.7,227.3,36.4,152.3
"47",14,-132.6,227.3,36.3,152.4
"48",14,-132.5,227.3,36.3,152.5
"49",14,-132.4,227.2,36.2,152.6
"50",14,-132.3,227.2,36.2,152.8
"51",14,-132.2,227.2,36.2,152.9
"52",14,-132.1,227.1,36.1,153
"53",14,-132,227.1,36.1,153.1
"54",14,-131.9,227.1,36,153.3
"55",14,-131.8,227,36,153.4
"56",14,-131.7,227,35.9,153.5
"57",14,-131.6,227,35.9,153.6
"58",14,-131.5,226.9,35.9,153.8
"59",14,-131.4,226.9,35.8,153.9
"60",14,-131.3,226.9,35.8,154
"61",14,-131.2,226.8,35.7,154.1
"62",14,-131.1,226.8,35.7,154.3
"63",14,-131,226.8,35.7,154.4
"64",14,-130.9,226.8,35.6,154.5
"65",14,-130.8,226.7,35.6,154.6
"66",14,-130.7,226.7,35.5,154.8
"67",14,-130.6,226.7,35.5,154.9
"68",14,-130.5,226.6,35.4,155
"69",14,-130.4,226.6,35.4,155.1
"70",14,-130.3,226.6,35.4,155.2
"71",14,-130.2,226.5,35.3,155.4
"72",14,-130.1,226.5,35.3,155.5
"73",14,-130,226.5,35.2,155.6
"74",14,-129.9,226.4,35.2,155.7
"75",14,-129.8,226.4,35.1,155.9
"76",14,-129.7,226.4,35.1,156
"77",14,-129.6,226.3,35,156.1
"78",14,-129.5,226.3,35,156.2
"79",14,-129.4,226.3,35,156.3
"80",14,-129.3,226.2,34.9,156.5
"81",14,-129.2,226.2,34.9,156.6
"82",14,-129.1,226.2,34.8,156.7
"83",14,-129,226.1,34.8,156.8
"84",14,-128.9,226.1,34.7,156.9
"85",14,-128.8,226.1,34.7,157.1
"86",14,-128.7,226.1,34.6,157.2
"87",14,-128.6,226,34.6,157.3
"88",14,-128.5,226,34.5,157.4
"89",14,-128.4,226,34.5,157.5
"90",14,-128.3,225.9,34.4,157.7
"91",14,-128.2,225.9,34.4,157.8
"92",14,-128.1,225.9,34.4,157.9
"93",14,-128,225.8,34.3,158
"94",14,-127.9,225.8,34.3,158.1
"95",14,-127.8,225.8,34.2,158.3
"96",14,-127.7,225.7,34.2,158.4
"97",14,-127.6,225.7,34.1,158.5
"98",14,-127.5,225.7,34.1,158.6
"99",14,-127.4,225.6,34,158.7
